G3-G3 G168-G168 {'weight': 1, 'layer': 1}
G3-G3 G219-G219 {'weight': 1, 'layer': 1}
G3-G3 G245-G245 {'weight': 1, 'layer': 1}
G3-G3 G247-G247 {'weight': 1, 'layer': 1}
G3-G3 G280-G280 {'weight': 1, 'layer': 1}
G3-G3 G354-G354 {'weight': 1, 'layer': 1}
G3-G3 G549-G549 {'weight': 1, 'layer': 1}
G3-G3 G562-G562 {'weight': 1, 'layer': 1}
G3-G3 G587-G587 {'weight': 1, 'layer': 1}
G3-G3 G703-G703 {'weight': 1, 'layer': 1}
G9-G9 G30-G30 {'weight': 1, 'layer': 1}
G9-G9 G108-G108 {'weight': 1, 'layer': 1}
G9-G9 G866-G866 {'weight': 1, 'layer': 1}
G9-G9 H335-H335 {'weight': 0.9, 'layer': 3}
G9-G9 H704-H704 {'weight': 0.9, 'layer': 3}
G10-G10 G24-G24 {'weight': 1, 'layer': 1}
G10-G10 G50-G50 {'weight': 1, 'layer': 1}
G10-G10 G67-G67 {'weight': 1, 'layer': 1}
G10-G10 G94-G94 {'weight': 1, 'layer': 1}
G10-G10 G161-G161 {'weight': 1, 'layer': 1}
G10-G10 G173-G173 {'weight': 1, 'layer': 1}
G10-G10 G301-G301 {'weight': 1, 'layer': 1}
G10-G10 G320-G320 {'weight': 1, 'layer': 1}
G10-G10 G327-G327 {'weight': 1, 'layer': 1}
G10-G10 G336-G336 {'weight': 1, 'layer': 1}
G10-G10 G396-G396 {'weight': 1, 'layer': 1}
G10-G10 G404-G404 {'weight': 1, 'layer': 1}
G10-G10 G425-G425 {'weight': 1, 'layer': 1}
G10-G10 G458-G458 {'weight': 1, 'layer': 1}
G10-G10 G497-G497 {'weight': 1, 'layer': 1}
G10-G10 G524-G524 {'weight': 1, 'layer': 1}
G10-G10 G579-G579 {'weight': 1, 'layer': 1}
G10-G10 G697-G697 {'weight': 1, 'layer': 1}
G10-G10 G824-G824 {'weight': 1, 'layer': 1}
G20-G20 G32-G32 {'weight': 1, 'layer': 1}
G20-G20 G165-G165 {'weight': 1, 'layer': 1}
G20-G20 G195-G195 {'weight': 1, 'layer': 1}
G20-G20 G728-G728 {'weight': 1, 'layer': 1}
G28-G28 G294-G294 {'weight': 1, 'layer': 1}
G28-G28 H143-H143 {'weight': 0.9, 'layer': 3}
G47-G47 G828-G828 {'weight': 1, 'layer': 1}
G47-G47 H23-H23 {'weight': 0.9, 'layer': 3}
G49-G49 G137-G137 {'weight': 1, 'layer': 1}
G49-G49 G263-G263 {'weight': 1, 'layer': 1}
G57-G57 G96-G96 {'weight': 1, 'layer': 1}
G57-G57 G232-G232 {'weight': 1, 'layer': 1}
G57-G57 G519-G519 {'weight': 1, 'layer': 1}
G57-G57 G928-G928 {'weight': 1, 'layer': 1}
G57-G57 H380-H380 {'weight': 0.9, 'layer': 3}
G63-G63 G258-G258 {'weight': 1, 'layer': 1}
G63-G63 G261-G261 {'weight': 1, 'layer': 1}
G63-G63 G270-G270 {'weight': 1, 'layer': 1}
G63-G63 G801-G801 {'weight': 1, 'layer': 1}
G80-G80 G272-G272 {'weight': 1, 'layer': 1}
G80-G80 H320-H320 {'weight': 0.9, 'layer': 3}
G98-G98 G198-G198 {'weight': 1, 'layer': 1}
G98-G98 G214-G214 {'weight': 1, 'layer': 1}
G98-G98 G488-G488 {'weight': 1, 'layer': 1}
G98-G98 G548-G548 {'weight': 1, 'layer': 1}
G98-G98 G586-G586 {'weight': 1, 'layer': 1}
G98-G98 G834-G834 {'weight': 1, 'layer': 1}
G98-G98 G920-G920 {'weight': 1, 'layer': 1}
G130-G130 G952-G952 {'weight': 1, 'layer': 1}
G156-G156 G215-G215 {'weight': 1, 'layer': 1}
G156-G156 G283-G283 {'weight': 1, 'layer': 1}
G156-G156 G298-G298 {'weight': 1, 'layer': 1}
G156-G156 G513-G513 {'weight': 1, 'layer': 1}
G156-G156 G574-G574 {'weight': 1, 'layer': 1}
G156-G156 G841-G841 {'weight': 1, 'layer': 1}
G156-G156 G893-G893 {'weight': 1, 'layer': 1}
G156-G156 G988-G988 {'weight': 1, 'layer': 1}
G156-G156 G992-G992 {'weight': 1, 'layer': 1}
G156-G156 H808-H808 {'weight': 0.9, 'layer': 3}
G156-G156 H461-H461 {'weight': 0.9, 'layer': 3}
G178-G178 G339-G339 {'weight': 1, 'layer': 1}
G178-G178 G365-G365 {'weight': 1, 'layer': 1}
G178-G178 G884-G884 {'weight': 1, 'layer': 1}
G178-G178 G946-G946 {'weight': 1, 'layer': 1}
G208-G208 G675-G675 {'weight': 1, 'layer': 1}
G230-G230 G237-G237 {'weight': 1, 'layer': 1}
G230-G230 G532-G532 {'weight': 1, 'layer': 1}
G230-G230 G585-G585 {'weight': 1, 'layer': 1}
G230-G230 G664-G664 {'weight': 1, 'layer': 1}
G230-G230 G799-G799 {'weight': 1, 'layer': 1}
G346-G346 G934-G934 {'weight': 1, 'layer': 1}
G485-G485 G500-G500 {'weight': 1, 'layer': 1}
G485-G485 G747-G747 {'weight': 1, 'layer': 1}
G485-G485 H580-H580 {'weight': 0.9, 'layer': 3}
G739-G739 H77-H77 {'weight': 0.9, 'layer': 3}
G744-G744 H989-H989 {'weight': 0.9, 'layer': 3}
G746-G746 H516-H516 {'weight': 0.9, 'layer': 3}
G889-G889 H918-H918 {'weight': 0.9, 'layer': 3}
G951-G951 G958-G958 {'weight': 1, 'layer': 1}
G951-G951 H779-H779 {'weight': 0.9, 'layer': 3}
G2-G2 G5-G5 {'weight': 1, 'layer': 1}
G2-G2 G19-G19 {'weight': 1, 'layer': 1}
G2-G2 G45-G45 {'weight': 1, 'layer': 1}
G2-G2 G91-G91 {'weight': 1, 'layer': 1}
G2-G2 G169-G169 {'weight': 1, 'layer': 1}
G2-G2 G174-G174 {'weight': 1, 'layer': 1}
G2-G2 G227-G227 {'weight': 1, 'layer': 1}
G2-G2 G405-G405 {'weight': 1, 'layer': 1}
G2-G2 G654-G654 {'weight': 1, 'layer': 1}
G2-G2 G730-G730 {'weight': 1, 'layer': 1}
G6-G6 G7-G7 {'weight': 1, 'layer': 1}
G6-G6 G11-G11 {'weight': 1, 'layer': 1}
G6-G6 G103-G103 {'weight': 1, 'layer': 1}
G15-G15 G16-G16 {'weight': 1, 'layer': 1}
G15-G15 G17-G17 {'weight': 1, 'layer': 1}
G15-G15 G22-G22 {'weight': 1, 'layer': 1}
G15-G15 G187-G187 {'weight': 1, 'layer': 1}
G15-G15 G201-G201 {'weight': 1, 'layer': 1}
G15-G15 G290-G290 {'weight': 1, 'layer': 1}
G15-G15 G315-G315 {'weight': 1, 'layer': 1}
G15-G15 G318-G318 {'weight': 1, 'layer': 1}
G15-G15 G366-G366 {'weight': 1, 'layer': 1}
G15-G15 G379-G379 {'weight': 1, 'layer': 1}
G15-G15 G416-G416 {'weight': 1, 'layer': 1}
G15-G15 G567-G567 {'weight': 1, 'layer': 1}
G15-G15 G576-G576 {'weight': 1, 'layer': 1}
G15-G15 G676-G676 {'weight': 1, 'layer': 1}
G15-G15 G757-G757 {'weight': 1, 'layer': 1}
